department,number,ddd,title,credits,description,prereq1,prereq2,csi_concentration,isConcentrationCore,ece_concentration
CSI,535,CSI,Artificial Intelligence I (3),3,"A first course in artificial intelligence (AI) introducing basic concepts and techniques. Topics include problem representation, production systems, heuristic search, predicate logic, and structured representation of knowledge. Techniques of sample search and sample problem solving systems are represented. Exercises in a selected AI programming language. ",CSI521,,Artificial Intelligence and Machine Learning,Core,Control and Computer Systems
CSI,536,CSI,Machine Learning (3),3,"Machine learning is an important and rapid growing branch of artificial intelligence. The aim of machine learning is to design algorithm that can extract information from environment automatically and improve its ability to perform the intended task. Currently, machine learning has been applied in various fields including engineering, bioinformatics, data mining and neurosciences, to name a few. This course provides a broad introduction to machine learning. Specifically, topics that will be covered in the class may include: numerical optimization methods that are essential for machine learning algorithms dimension reduction methods: principal component analysis & ISOMAP classification methods: linear discriminant analysis, k-nearest neighbor classifier, and logistic regression regression methods: least squares regression, ridge regression, and l1 regularized least squares regression (LASSO) clustering methods: k-means clustering and EM algorithm neural networks support vector machines for classification and regression. ",CSI521,,Artificial Intelligence and Machine Learning,Core,
CSI,538,CSI,Computational Logic (3),3,"This course is on computational issues in logic, with emphasis on automated reasoning and applications. Core material includes propositional logic, satisfiability, the first-order predicate calculus, Skolem functions, Herbrand’s theorem, unification, clausal resolution and paramodulation. Other topics covered may change from year to year. ",CSI521,CSI503,Theoretical Computer Science,,
CSI,542,CSI,"An Introduction to Quantum Computation, Information, and Simulation (3)",3,"The main ideas of Quantum Computation, Information, and Simulation are introduced. The course describes what quantum computation is and how it can be used to solve problems faster than classical computers. The challenges of building a quantum computer are addressed. Quantum simulators are explained and built illustrating the vast differences between quantum and classical gates. The course also covers quantum information, explaining how quantum states can be used to program communications. ",CSI503,,,,
CSI,551,CSI,"(Inf 551, Phy 551) Bayesian Data Analysis and Signal Processing (3)",3,"This course will introduce both the principles and practice of Bayesian and maximum entropy methods for data analysis, signal processing, and machine learning. This is a hands-on course that will introduce MATLAB computing language for software development. Students will learn to write their own Bayesian computer programs to solve problems relevant to physics, chemistry, biology, earth science, and signal processing, as well as hypothesis testing and error analysis. Optimization techniques to be covered include gradient ascent, fixed-point methods, and Markov chain Monte Carlo sampling techniques. ",CSI201,,,,
CSI,552,CSI,(Ece 551) Robotics (3),3,"An introduction to the fundamentals of robotics, including configuration space, transformation matrix, kinematics, motion planning, a brief introduction to robot manipulation, degrees of freedom, implicit and explicit representations of configurations, and holonomic and nonholonomic restrictions will all be covered. This material is fundamental to the study of anything that moves (e.g., robots). Students will use a library of robotics software and a robot simulator to build and test software. ",,,Artificial Intelligence and Machine Learning,,
CSI,553,CSI,(Ece 553) Cyber-Physical Systems (3),3,"This course is an introduction to the basics of models, analysis tools, and control for embedded systems operating in real time. Topics include models of computation, basic analysis, control, and systems simulation, interfacing with the physical world, mapping to embedded platforms and distributed embedded systems. This course has a lab component. Course fee applies. Consult the Schedule of Classes. ",CSI404,,,,
CSI,571,CSI,Introduction to Computer Vision (3),3,"This course introduces students to Computer Vision and Image Processing. The course starts with image formation, color, image filtering and programming basics with languages such as Python, C++, and Matlab. It also teaches fundamentals of image acquisition, image perception, image interpolation, image restoration, image enhancement, edge detection, corner detection, image segmentation, mathematical morphology, and object detection. This course also covers some basics of background modeling, visual tracking, feature matching, scene parsing, and projective geometry that are related to computer vision. The course focuses on both the theory and the practical application of computer vision and image processing. Students will learn hands-on programming implementation. Students who received credit for Csi 471 cannot receive credit for this course. Students should have knowledge of programming, linear algebra, and probability and statistics.",,,Artificial Intelligence and Machine Learning,,
CSI,600,CSI,Distributed Systems (3),3,"Survey of current trends in operating systems with a particular emphasis on distributed systems. Topics include multiprocessor systems, distributed file systems, caching and cache coherency, scaling issues, naming, resource location, process migration, heterogeneity, remote procedure call, communication protocols, authentication, security, and replication. ",CSI500,,,,
CSI,601,CSI,Computability and Undecidability (3),3,"Introduction to theory of computability. Topics include formal models of computing systems and their computational equivalence, Church's thesis, recursive and recursively enumerable sets, effective reducibilities, the recursion theorem and the arithmetic hierarchy. Applications to computer science, logic and mathematics. ",CSI509,,,,
CSI,604,CSI,Computers and Computational Intractability (3),3,"Introduction to theory of computational complexity. Computational tractable and intractable problems. The complexity classes P, RP, NP, PSPACE, etc. Classification of commonly encountered problems from computer science, mathematics and operations research, emphasizing the NP-complete problems. Techniques for dealing with computational intractability including back-tracking, approximation algorithms, etc. ",CSI503,CSI509,,,
CSI,608,CSI,Database II (3),3,"Systems-oriented aspects of database systems design. Transaction processing, database concurrency control, restart and recovery, distributed databases. Advanced topics of current research interest. ",CSI521,,,,
CSI,609,CSI,Formal Languages and Theory of Computation (3),3,"Course topics include finite-state machines, pushdown automata, Turing machines, regular, context- free and phrase-structured languages, parsing algorithms, computability, and complexity. ",CSI509,,Theoretical Computer Science,Core,
CSI,616,CSI,Computer Communication Networks II (3),3,"Survey of current trends in computer communication networks. Topics include transaction oriented protocols, bulk data transfer protocols, high speed networks, routing, protocol performance and efficiency, security, and authentication. ",CSI516,,,,
CSI,628,CSI,Cryptographic Protocols (3),3,"This course is on analyzing cryptographic protocols on security issues.  The emphasis will be on formal methods, i.e., logically analyzing the protocols to establish the presence or absence of security flaws.  The students will read and present latest cutting-edge literature and there will be a term project.  ",CSI521,,,,
CSI,635,CSI,Artificial Intelligence II (3),3,A continuation of the materials introduced in Csi 535. ,CSI521,,,,
CSI,636,CSI,Natural Language Processing (3),3,"Construction of programs that use human language. Topics include morphology, syntax, parsing, semantic representation, resolution of ambiguity, generation, and discourse. ",CSI535,,,,
CSI,660,CSI,Topics in Computer Science (3),3,Advanced topics in computer science. Content determined by the instructor. May be repeated for credit with permission of the department. ,,,,,
CSI,661,CSI,Topics in Artificial Intelligence (1-3),1,"Advanced study in selected subjects in Artificial Intelligence, with an emphasis on current research and results. Topics may be drawn from automated deduction, natural language processing, artificial neural networks, knowledge representation, and machine learning. May be repeated for credit with permission of the department. ",,,,,
CSI,662,CSI,Topics in Database Systems (1-3),1,Selected topics of current interest from the frontiers of database systems. Topics may vary from year to year. May be repeated for credit with permission of the department. ,,,,,
CSI,663,CSI,Topics in Parallel Computation (1-3),1,"Selected topics of current interest in parallel processing. General topics include design and analysis of efficient parallel algorithms on a variety of parallel computation models, and theory of parallel computation. May be repeated for credit with permission of the department. ",,,,,
CSI,665,CSI,Topics in Computer Graphics (1-3),1,"Topics may include: Hidden line and surface removal, polygonal surfaces, fractals. B-spline and Bezier bicubic patches, Quadric surfaces, surface blending, shading, ray tracing, or animation. May be repeated for credit with permission of the department. ",,,,,
CSI,666,CSI,Topics in Theory of Computation (1-3),1,"Selected topics in theory of computation, automata theory, and decidability. May be repeated for credit with permission of the department. ",,,,,
CSI,667,CSI,Topics in Algorithms (1-3),1,"Selected topics in theory, analysis, and complexity of algorithms. May be repeated for credit with permission of the department. ",,,,,
CSI,668,CSI,Topics in Systems Architecture (3),3,"Selected topics or case studies in structure, design, or evaluation of computer hardware and software systems. Content varies from year to year. May be repeated for credit with permission of the department. ",,,,,
CSI,671,CSI, Computer Vision (3),3,"Computer vision enables a machine to ¿understand¿ or analyze images and videos by deriving information from raw pixel values to support various applications. This course explores fundamental topics across all three levels (low-level, mid-level, and high-level) through lectures, paper presentations, and projects. We will treat computer vision as a process of inference from noisy and uncertain data and emphasize both conventional (model-based) and modern (learning-based or data-driven) approaches. We will pay special attention to training research skills, including paper writing and oral presentation. ",CSI571,,Artificial Intelligence and Machine Learning,,
CSI,680,CSI,Master's Project (3),3,Master's level project under faculty supervision. Satisfactory completion fulfills project requirement for the M.S. in computer science. May be repeated for credit with permission of department. ,,,,,
CSI,681,CSI,Compiler Project (3),3,Project work in compiler design and implementation. Students are required to design and implement significant components of a compiler. Satisfactory completion fulfills project requirements for the M.S. or Ph.D. in computer science. ,CSI617,,,,
CSI,682,CSI,Database Project (3),3,Project work in database design and implementation. Students will design and implement significant components of a database system. Satisfactory completion fulfills project requirement for the M.S. or Ph.D. in Computer Science. ,CSI508,,,,
CSI,683,CSI,Systems Programming Project (3),3,"Project work in operating systems. Students will design and implement significant components of an operating system, subsystem, or supporting utility programs. Satisfactory completion of this course fulfills the project requirement for the M.S. or Ph.D. degree in computer science. ",CSI500,,,,
CSI,684,CSI,Computational Science Project (3),3,The computer solution of practical problems in pure or applied science and/or technology. Satisfactory completion fulfills project requirements for the M.S. or the Ph.D. in computer science. ,CSI540,CSI541,,,
CSI,694,CSI,Directed Readings in Computer Science (1-3),1,Directed reading in a particular area of computer science specialization under supervision of a departmental faculty member. May be repeated for credit with permission of the department. ,,,,,
CSI,696,CSI,Independent Teaching and Learning (1-3),1,"Participants extend and apply their understanding of computer science by tutoring or assisting in laboratory, tutoring or discussion activities, under faculty supervision, for one or more associated courses. One weekly contact hour and grading are required for each credit (or an equivalent obligation as determined by the faculty supervisor). Students must complete at least one relevant ITAL/ FTR training workshop during the semester in which they are enrolled in ICSI 696. May be repeated for credit with permission of the department. ",,,,,
CSI,697,CSI,Independent Study and Research (1-3),1,Independent study and research in a particular area of computer science specialization under supervision of a departmental faculty member. May be repeated for credit with permission of the department. ,,,,,
CSI,698,CSI,Internship (3),3,"Directed application of a particular area of computer science specialization via public or private sector employment.  Must be under supervision of a departmental faculty member.  The internship must demonstrate the ability to put science and/or managerial preparation to work in business, industry, or government.  May not be repeated for credit.  Qualifies for CPT for one semester only.  ",,,,,
CSI,699,CSI,Master's Thesis (3-6),3,Original independent research at the master's level under direction of a member of computer science faculty. ,,,,,
CSI,890,CSI,Independent Study and Research (3-19),3,Independent study at the doctoral level under the direction of a member of the computer science faculty. May be repeated for credit. ,,,,,
CSI,899,CSI,Doctoral Research (1),1,Required of all candidates completing the degree of Doctor of Philosophy. Registration for this course is limited to doctoral students who have been admitted to candidacy. Course grading is Load Only and does not earn credit.,,,,,
ECE,501,ECE,Advanced Electronic Circuits (3),3,"Linear and non-linear applications of operational amplifiers, with an emphasis on circuit design. Non-ideal operational amplifier behavior, including both static and dynamic characteristics. Amplifier stability and frequency compensation techniques. Operational amplifier based oscillators. Circuit noise. ",ECE300,,,Core,Electronic Circuits and Systems
ECE,502,ECE,Power Electronics (3),3,"An introduction to fundamentals of power electronic circuits and their role in industrial, residential and power system applications. This course covers the characteristics of power semiconductor devices including diodes, thyristors, GTOs, IGBTs and MOSFETs. Analysis and design of basic dc-dc converters, single phase and multi-phase rectifiers and inverter circuits will be introduced as well as an introduction to the fundamentals of soft switching converters. Industrial applications, such as renewable energy, telecom and computing industry will be discussed. Computer simulation will be used to analyze the detailed operation of switching converters. This course includes a laboratory. Course fee applies. Consult the Schedule of Classes. ",ECE300,,,Core,Electronic Circuits and Systems
ECE,511,ECE,Microwave Engineering (3),3,"An introduction to radio frequency and microwave analysis and design. Transmission lines and waveguides, microwave network characterization and analysis, impedance matching and tuning. Passive microwave devices such as power dividers, couplers, resonators, filters, and ferrimagnetic components. An introduction to active devices. ",ECE310,,,Core,Electronic Circuits and Systems
ECE,512,ECE,Antenna Engineering (3),3,"An introduction to the fundamental principles of antenna theory. Basic antenna parameters, including radiation resistance, input impedance, gain and directivity. Antenna radiation properties and Friis transmission formula. Elementary (dipole, linear wire and loop) antennas and their radiation properties. Impedance matching techniques and mutual coupling. Analysis and design of antenna arrays. Introduction to commonly used aperture and microstrip antennas. ",ECE310,,,,Electronic Circuits and Systems
ECE,513,ECE,Electrical Energy Systems (3),3,"The course starts with covering three phase circuits and power calculations in three-phase systems. Active and reactive power transfer in an electrical grid are analyzed. Concepts of electromagnetic energy conversion and transformers will be introduced. Different types of energy sources and their interconnection to the grid will be covered such as hydro energy, wind power, solar photovoltaics and energy storage. The course is concluded with an introduction to economics of power generation and an overview of elements of smart grids. ",ECE202,ECE310,,Core,Electronic Circuits and Systems
ECE,515,ECE,Electric Machine Control and Drive Systems (3),3,"Advanced topics on the modeling and control of electrical machines. Topics covered include induction machine equations, dynamic analysis of induction machines in terms of dq-windings, vector control of induction motor drives, mathematical description of vector control, detuning effects in induction motor vector control, dynamic analysis of doubly-fed induction generators and their vector control, space-vector pulse-width modulated inverters, direct torque control and encoder-less operation of induction motors, vector control of permanent magnet synchronous-motor drives and switched-reluctance motor drives. ",ECE414,,,,Electronic Circuits and Systems
ECE,516,ECE,(Csi 516) Computer Communications Networks (3),3,"This course covers fundamentals in computer communication networks and the principles of distributed systems that leverage these networks. The course will focus on key Internet application architectures, principles and protocols, covering reliable data transfer and transport protocols; routing and forwarding; data link layer communications and principles of shared media access. Students will also be introduced to various physical layer techniques like error correction and bandwidth efficiency; content delivery networks; and software-defined networks. The students will apply their understanding of networking fundamentals while working on hands-on programming assignments, packet trace analysis and Internet measurements. ",ECE416,,,Core,
ECE,518,ECE,Power Systems Analysis (3),3,"This course covers principles of electric power systems, three-phase transformers, transmission line parameters, admittance model, impedance model, network work calculations, power-flow solution, symmetrical faults, symmetrical components and sequence network, asymmetrical faults, elements of power system protection and power system stability. ",ECE202,ECE310,,,
ECE,519,ECE,Fundamentals of Electric and Hybrid Electric Transportation Systems (3),3,"This course presents a comprehensive systems-level perspective of electric, hybrid electric and plug-in hybrid electric vehicles with emphasis on component/subsystem analysis, basic design guidelines and mathematical relationships. Specific topics include electric and hybrid electric drive trains, energy storage, electromechanical energy conversion (induction and permanent magnet motors and generators), power-electronic drives and battery interface converters, vehicle-level modeling and control, and impact of electric vehicle integration on the power grid. Coursework will include design and simulation projects of the various subsystems. ",ECE513,,,,Electronic Circuits and Systems
ECE,520,ECE,(Csi 522) Introduction to VLSI (3),3,"An introduction to Very Large Scale Integrated (VLSI) circuit design. The device, circuit, and system aspects of VLSI design are covered in an integrated fashion. Emphasis is placed on NMOS, PMOS and CMOS technology. Using transistors, simple gates such as XOR, AND, OR, AOI, OAI, and flip flops, are constructed and simulated using industry standard layout and simulation tools. Students who have received credit for IECE420 cannot receive credit for this course. Recommended prerequisites: Either Ece 231 and Ece 300 or Csi 404 and Phy 415, or equivalent.",,,,Core,Electronic Circuits and Systems
ECE,521,ECE,Digital ASIC Design (3),3,"The design of complex digital Application Specific Integrated Circuits (ASICs). Standard cell libraries and the Verilog language are used to build complex digital synchronous circuits using Cadence Design Systems tools. Interconnect delay estimation, clock tree synthesis, repeater and pipeline stage design and introduced. A synchronous digital system utilizing 100s of flip flops and logic gates is designed as a final project. Students who receive credit for ECE 421 cannot receive credit for this course. ",ECE520,,,,Electronic Circuits and Systems
ECE,522,ECE,Integrated Circuit Devices (3),3,"Modern solid-state devices and their operational principles. Solid state physics fundamentals, such as carriers and their mobility, band structures, doping concentrations and PN junctions. The operation of PN diodes, PIN diodes, and Schottky diodes, as well as three terminal devices, such as BJTs, JFETs, SCRs, MESFETs and MOSFETs. Device modelling and behavior. ",ECE300,,,Core,Electronic Circuits and Systems
ECE,531,ECE,(Csi 534) Reconfigurable Computing (3),3,"This course provides a study of FPGA architecture with detailed discussion on opportunities and challenges in this flexible platform. Topics include device architecture, programming languages and models for FPGAs including streaming and I/O, Mapping, Placement and Routing in reconfigurable logic, application design, development, verification and application specific optimization techniques. ",ECE231,,,Core,Control and Computer Systems
ECE,532,ECE,(Csi 504) Advanced Computer Architecture (3),3,"The organization of the hardware components of computing systems. Logic design theory review. Comparative survey of instruction set architectures. Design, control, communication, and interconnection strategies for major components such as arithmetic-logic units, control units, CPUs, memories, and I/O systems. Prediction and measurement of performance. Introduction to VLSI, parallel processing, and other current architectural trends. Only one of Csi 504 and Ece 532 may be taken for credit. ",,,,Core,Control and Computer Systems
ECE,541,ECE,Parallel Computing (3),3,"This course introduces students to fundamental principles and engineering trade-offs involved in designing modern parallel computing systems as well as parallel programming techniques for optimal use in these systems. Topics include parallel programming models, performance optimization and evaluation, cache coherence, memory consistency, interconnection networks, synchronization and latency consideration. Multi-core CPUs and GPUs will be used for assignments. ",ECE213,,,,Control and Computer Systems
ECE,551,ECE,(Csi 552) Robotics (3),3,"An introduction to the fundamentals of robotics, including configuration space, transformation matrix, kinematics, motion planning, a brief introduction to robot manipulation, degrees of freedom, implicit and explicit representations of configurations, and holonomic and nonholonomic restrictions will all be covered. This material is fundamental to the study of anything that moves (e.g., robots). Students will use a library of robotics software and a robot simulator to build and test software. ",,,,,Control and Computer Systems
ECE,553,ECE,(Csi 553) Cyber-Physical Systems (3),3,"This course is an introduction to the basics of models, analysis tools, and control for embedded systems operating in real time. Topics include models of computation, basic analysis, control, and systems simulation, interfacing with the physical world, mapping to embedded platforms and distributed embedded systems. This course has a lab component. Course fee applies. Consult the Schedule of Classes. ",ECE233,,,Core,Control and Computer Systems
ECE,560,ECE,Topics in Electrical and Computer Engineering (3),3,This course will explore current emerging technologies and related technical management practices on a global basis. The content of this course will vary from semester to semester. Each offering will cover an advanced engineering topic in Electrical and Computer Engineering. May be repeated for credit when content varies. ,,,,,
ECE,562,ECE,Digital Signal Processing (3),3,"The mathematical basis of discrete-time signal analysis. Topics include the theory and implementation of fast Fourier transform algorithms and the design and implementation of digital filters along with advanced techniques such as linear prediction, adaptive filtering, and two-dimensional signal processing. ",ECE371,,,Core,Signal Processing and Communications
ECE,563,ECE,Digital Image Processing (3),3,"An introduction to the fundamental techniques and algorithms used for acquiring, processing and extracting useful information from digital images. Image sampling and quantization, image transforms, image enhancement and restoration, image encoding, image analysis and pattern recognition. ",ECE562,,,Core,Signal Processing and Communications
ECE,564,ECE,Brain-Computer Interfaces (3),3,"An introduction to the theory and design of brain-computer interfaces (BCIs). The content of the course is divided into four modules: (1) An introduction to BCIs and an exploration of the neurophysiology critical to their development; (2) Imaging, software, and signal processing for BCIs; (3) Types of BCIs; and (4) Special topics and directions for future development. Each module includes laboratory activities meant to solidify and reinforce the content covered in the lectures. Students will learn to use EEG to record signals from the body; build a real-time signal analysis system for use in a BCI; and complete a semester project where they design and build their own BCI system. This course is given in collaboration with the National Center for Adaptive Neurotechnologies (NCAN), one of the world's pioneering neuroengineering laboratories. ",,,,,Signal Processing and Communications
ECE,565,ECE,Introduction to Machine Learning for Engineers (3),3,"This course offers a comprehensive introduction to machine learning (ML). Students will gain both theoretical knowledge and practical skills required to utilize ML techniques for building Internet-of-Things (IoT) applications. The theory covers the mathematical methods that are utilized to train and test ML models. The course curriculum is designed to focus on applying ML models to realize various signal processing, communication, and control operations. The course assignments and projects involve coding-based tasks that enable the students to design and implement their own ML models and optimize them for targeted IoT applications. The high-level overview of the topics covered in this course includes the extraction of feature vectors for signal processing, deep learning (DL) for communication, and reinforcement learning (RL) control. Recommended prerequisites: Mat 214, Mat 220, Ece 371 and either Ece 233 or Ece 332. Students who received credit for Ece 465 cannot receive credit for this course.",,,,,Signal Processing and Communications
